Location,Points,lat,lon,GoogleAddress
"Picadilly Circus, London",2,NA,NA,NA
"Nelson's Column, London",2,NA,NA,NA
"Big Ben, London",2,NA,NA,NA
"100 Club, Oxford Street, London",5,NA,NA,NA
"Fabric, Charterhouse Street, London",5,NA,NA,NA
"The Gherkin, 30 St Mary Axe, London",2,NA,NA,NA
"Tower Bridge, London",2,NA,NA,NA
"The Globe Theatre, London",2,NA,NA,NA
"The Shard, London",2,NA,NA,NA
"City Hall, London",2,NA,NA,NA
"Tate Modern, London",2,NA,NA,NA
"Canary Wharf, London",5,NA,NA,NA
"Olympic Stadium, London",5,NA,NA,NA
"Emirates Greenwhich Peninsula, London",5,NA,NA,NA
"Thames Barrier, London",25,NA,NA,NA
"Cutty Sark, Greenwich, London",2,NA,NA,NA
"Royal Observatory, Greenwich, London",10,NA,NA,NA
"Bow Church, London",5,NA,NA,NA
"Arcelor Mittal Orbit, London",5,NA,NA,NA
"Olympic aquatics centre, London",5,NA,NA,NA
"Barbican, London",4,NA,NA,NA
"Abbey Road Studios, London",7,NA,NA,NA
"Emeriates Stadium, London",5,NA,NA,NA
"Karl Marx's Tomb, London",15,NA,NA,NA
"Alexandra Palace, London",15,NA,NA,NA
"Wembley Stadium, London",20,NA,NA,NA
"Walthamstow Dog Track, London",8,NA,NA,NA
"Lords Cricket Ground, London",5,NA,NA,NA
"Platform 9 & 3/4, Kings Cross, London",2,NA,NA,NA
"St Pancras Station, London",2,NA,NA,NA
"Brixton Academy, London",8,NA,NA,NA
"Crystal Palace Dinosaurs, London",15,NA,NA,NA
"Bandstand in Clapham Common, London",15,NA,NA,NA
"Oval Cricket Ground, London",5,NA,NA,NA
"Herne Hill Velodrome, London",15,NA,NA,NA
"All England Tennis Club, London",20,NA,NA,NA
"Battersea Powerstation, London",5,NA,NA,NA
"Pagoda - Battersea Park, London",5,NA,NA,NA
"Kensington Palace, London",3,NA,NA,NA
"Chelsea (Stamford Bridge Stadium), London",7,NA,NA,NA
"Chiswick House, London",8,NA,NA,NA
"Westfield Stratford, London",8,NA,NA,NA
"Buckingham Palace, London",5,NA,NA,NA
"Harrods, London",5,NA,NA,NA
"Albert Hall, London",5,NA,NA,NA
"Fuller's Griffin Brewery, London",10,NA,NA,NA
"Hammersmith Flyover, London",5,NA,NA,NA
"Trellick Tower, London",4,NA,NA,NA
"Hammersmith Apollo, London",7,NA,NA,NA
"Westfield Hammersmith, London",5,NA,NA,NA
